Date,P4TC,P1A,P2A,P3A,P4,P5,P6,P7,P8
2020-01-06,6677.0,9067.0,16183.0,5506.0,2894.0,4633.0,8206.0,,
2020-01-07,6273.0,8645.0,15545.0,5132.0,2635.0,4078.0,7823.0,,
2020-01-08,5887.0,8275.0,15086.0,4622.0,2181.0,3722.0,7575.0,,
2020-01-09,5727.0,7830.0,14886.0,4278.0,1760.0,3422.0,7905.0,,
2020-01-10,5603.0,7595.0,14745.0,3909.0,1438.0,3117.0,8150.0,,
2020-01-13,5498.0,7330.0,14627.0,3843.0,1191.0,2975.0,8195.0,,
2020-01-14,5563.0,7175.0,14620.0,3882.0,1034.0,2911.0,8565.0,,
2020-01-15,6086.0,7065.0,15148.0,4320.0,1058.0,3017.0,9850.0,,
2020-01-16,6391.0,6875.0,15402.0,4885.0,1384.0,3333.0,10360.0,,
2020-01-17,6494.0,6645.0,15213.0,5538.0,1595.0,3544.0,10346.0,,
2020-01-20,6455.0,6465.0,15069.0,5717.0,1713.0,3822.0,10223.0,,
2020-01-21,6082.0,5985.0,14691.0,5534.0,1693.0,3939.0,9665.0,,
2020-01-22,5508.0,5270.0,14182.0,5167.0,1605.0,3889.0,8855.0,,
2020-01-23,5089.0,4805.0,13895.0,4858.0,1478.0,3656.0,8240.0,,
2020-01-24,4880.0,4590.0,13723.0,4677.0,1357.0,3425.0,7970.0,,
2020-01-27,4718.0,4450.0,13643.0,4455.0,1264.0,,7790.0,,
2020-01-28,4525.0,4330.0,13486.0,4169.0,1139.0,3291.0,7580.0,,
2020-01-29,4312.0,4135.0,13291.0,3951.0,1024.0,3144.0,7315.0,,
2020-01-30,4015.0,3985.0,12945.0,3752.0,766.0,3031.0,6820.0,,
2020-01-31,3827.0,3835.0,12736.0,3598.0,589.0,2925.0,6575.0,,
2020-02-03,3574.0,3485.0,12327.0,3445.0,476.0,2822.0,6325.0,,
2020-02-04,3402.0,3275.0,12077.0,3335.0,388.0,2744.0,6130.0,,
2020-02-05,3345.0,3160.0,12045.0,3289.0,349.0,2678.0,6098.0,,
2020-02-06,3437.0,3115.0,12118.0,3392.0,348.0,2539.0,6332.0,,
2020-02-07,3535.0,3128.0,12209.0,3581.0,473.0,2478.0,6420.0,,
2020-02-10,3577.0,3088.0,12295.0,3728.0,532.0,2461.0,6420.0,,
2020-02-11,3674.0,3098.0,12395.0,3967.0,605.0,2416.0,6480.0,,
2020-02-12,3898.0,3155.0,12625.0,4233.0,676.0,2439.0,6855.0,,
2020-02-13,4170.0,3268.0,12861.0,4570.0,759.0,2700.0,7283.0,,
2020-02-14,4388.0,3350.0,13125.0,4890.0,851.0,2983.0,7553.0,,
2020-02-17,4581.0,3425.0,13355.0,5093.0,908.0,3283.0,7870.0,,
2020-02-18,4871.0,3785.0,13568.0,5425.0,992.0,3589.0,8160.0,,
2020-02-19,5160.0,4105.0,13764.0,5797.0,1108.0,3906.0,8445.0,,
2020-02-20,5460.0,4540.0,14023.0,6081.0,1205.0,4167.0,8725.0,,
2020-02-21,5751.0,4805.0,14398.0,6225.0,1250.0,4294.0,9215.0,,
2020-02-24,5966.0,5121.0,14627.0,6356.0,1291.0,4375.0,9470.0,,
2020-02-25,6131.0,5395.0,14841.0,6458.0,1353.0,4517.0,9615.0,,
2020-02-26,6397.0,5653.0,15257.0,6588.0,1428.0,4583.0,10015.0,,
2020-02-27,6636.0,5990.0,15577.0,6662.0,1491.0,4661.0,10340.0,,
2020-02-28,6811.0,6305.0,15850.0,6754.0,1536.0,4806.0,10480.0,,
2020-03-02,6896.0,6505.0,16025.0,6772.0,1554.0,4950.0,10517.0,,
2020-03-03,7083.0,6715.0,16377.0,6902.0,1611.0,5122.0,10720.0,,
2020-03-04,7315.0,6960.0,16741.0,7165.0,1678.0,5372.0,10925.0,,
2020-03-05,7895.0,8205.0,17855.0,7386.0,1773.0,5539.0,11235.0,,
2020-03-06,8274.0,9090.0,18577.0,7538.0,1816.0,5728.0,11380.0,,
2020-03-09,8271.0,9110.0,18582.0,7542.0,1826.0,5800.0,11345.0,,
2020-03-10,8237.0,9045.0,18568.0,7536.0,1863.0,5838.0,11283.0,,
2020-03-11,8175.0,8890.0,18509.0,7538.0,1889.0,5850.0,11215.0,,
2020-03-12,7978.0,8645.0,18286.0,7456.0,1891.0,5867.0,10905.0,,
2020-03-13,7725.0,8375.0,18041.0,7296.0,1875.0,5833.0,10505.0,,
2020-03-16,7396.0,8070.0,17752.0,7068.0,1795.0,5778.0,9975.0,,
2020-03-17,7031.0,7660.0,17441.0,6771.0,1687.0,5633.0,9488.0,,
2020-03-18,6639.0,7140.0,17064.0,6455.0,1581.0,5456.0,9040.0,,
2020-03-19,6316.0,6800.0,16745.0,6081.0,1498.0,5228.0,8690.0,,
2020-03-20,5923.0,6340.0,16223.0,5738.0,1376.0,4988.0,8265.0,,
2020-03-23,5632.0,6015.0,15677.0,5505.0,1276.0,4833.0,7975.0,,
2020-03-24,5378.0,5670.0,15082.0,5289.0,1214.0,4511.0,7815.0,,
2020-03-25,5148.0,5270.0,14520.0,5128.0,1195.0,4189.0,7711.0,,
2020-03-26,5101.0,5010.0,14218.0,5075.0,1181.0,3883.0,7920.0,,
2020-03-27,5227.0,4970.0,14295.0,5164.0,1179.0,3700.0,8275.0,,
2020-03-30,5253.0,4830.0,14323.0,5265.0,1191.0,3622.0,8380.0,,
2020-03-31,5477.0,4825.0,14582.0,5523.0,1232.0,3567.0,8815.0,,
2020-04-01,5714.0,4855.0,14711.0,5854.0,1250.0,3589.0,9255.0,,
2020-04-02,5795.0,4825.0,14695.0,6108.0,1296.0,3806.0,9330.0,,
2020-04-03,5834.0,4745.0,14605.0,6329.0,1331.0,4089.0,9360.0,,
2020-04-06,5869.0,4710.0,14536.0,6537.0,1350.0,4200.0,9350.0,,
2020-04-07,5862.0,4643.0,14473.0,6722.0,1371.0,4472.0,9240.0,,
2020-04-08,5908.0,4563.0,14355.0,7015.0,1394.0,4856.0,9248.0,,
2020-04-09,5979.0,4553.0,14314.0,7251.0,1437.0,5639.0,9295.0,,
2020-04-13,,,,,,6139.0,,,
2020-04-14,6025.0,4520.0,14316.0,7412.0,1457.0,6322.0,9335.0,,
2020-04-15,6044.0,4518.0,14327.0,7460.0,1459.0,6311.0,9355.0,,
2020-04-16,6056.0,4630.0,14409.0,7384.0,1448.0,6144.0,9343.0,,
2020-04-17,6093.0,4960.0,14490.0,7238.0,1427.0,5867.0,9292.0,,
2020-04-20,6066.0,5075.0,14520.0,7107.0,1383.0,5744.0,9222.0,,
2020-04-21,5898.0,5010.0,14427.0,6753.0,1329.0,5564.0,9060.0,,
2020-04-22,5669.0,4780.0,14225.0,6417.0,1295.0,5444.0,8847.0,,
2020-04-23,5496.0,4520.0,14086.0,6199.0,1252.0,5353.0,8728.0,,
2020-04-24,5383.0,4345.0,13850.0,6033.0,1220.0,5253.0,8725.0,,
2020-04-27,5331.0,4258.0,13791.0,5953.0,1206.0,5221.0,8715.0,,
2020-04-28,5242.0,4083.0,13664.0,5875.0,1193.0,5172.0,8675.0,,
2020-04-29,5146.0,3910.0,13500.0,5824.0,1186.0,5113.0,8600.0,,
2020-04-30,5066.0,3825.0,13384.0,5835.0,1191.0,5056.0,8430.0,,
2020-05-01,5001.0,3705.0,13263.0,5867.0,1191.0,,8328.0,,
2020-05-04,4979.0,3643.0,13191.0,5875.0,1191.0,4981.0,8325.0,,
2020-05-05,4892.0,3505.0,12945.0,5838.0,1189.0,4950.0,8263.0,,
2020-05-06,4768.0,3255.0,12591.0,5883.0,1194.0,5022.0,8135.0,,
2020-05-07,4663.0,3030.0,12191.0,5951.0,1208.0,,8046.0,,
2020-05-08,,,,,,5244.0,,,
2020-05-11,4587.0,2910.0,11927.0,6005.0,1211.0,5372.0,7934.0,,
2020-05-12,4470.0,2660.0,11614.0,6081.0,1211.0,5411.0,7795.0,,
2020-05-13,4320.0,2395.0,11386.0,6048.0,1200.0,5483.0,7623.0,,
2020-05-14,4188.0,2210.0,11232.0,5987.0,1194.0,5506.0,7440.0,,
2020-05-15,4088.0,2125.0,11095.0,5921.0,1194.0,5639.0,7280.0,,
2020-05-18,4056.0,2095.0,11027.0,5928.0,1195.0,5794.0,7215.0,,
2020-05-19,4054.0,2015.0,10986.0,6011.0,1223.0,6089.0,7210.0,,
2020-05-20,4129.0,2005.0,10989.0,6205.0,1239.0,6389.0,7298.0,,
2020-05-21,4270.0,2000.0,11068.0,6473.0,1296.0,6733.0,7506.0,,
2020-05-22,4382.0,2015.0,11114.0,6611.0,1321.0,6961.0,7725.0,,
2020-05-26,4572.0,2080.0,11336.0,6817.0,1357.0,7067.0,8047.0,,
2020-05-27,4862.0,2255.0,11582.0,6973.0,1388.0,7211.0,8645.0,,
2020-05-28,5147.0,2510.0,11950.0,7128.0,1416.0,7428.0,9123.0,,
2020-05-29,5453.0,2835.0,12382.0,7256.0,1441.0,7578.0,9613.0,,
2020-06-01,5655.0,3089.0,12705.0,7404.0,1480.0,7672.0,9831.0,,
2020-06-02,5815.0,3255.0,13009.0,7533.0,1498.0,7783.0,10011.0,,
2020-06-03,5949.0,3430.0,13318.0,7662.0,1521.0,7950.0,10093.0,,
2020-06-04,6000.0,3585.0,13464.0,7721.0,1530.0,8039.0,10033.0,,
2020-06-05,5988.0,3615.0,13473.0,7735.0,1539.0,8089.0,9950.0,,
2020-06-08,5945.0,3615.0,13440.0,7694.0,1525.0,8089.0,9856.0,,
2020-06-09,5856.0,3610.0,13414.0,7545.0,1514.0,7939.0,9700.0,,
2020-06-10,5832.0,3655.0,13395.0,7408.0,1501.0,7783.0,9708.0,,
2020-06-11,6055.0,3875.0,13577.0,7482.0,1508.0,7700.0,10145.0,,
2020-06-12,6329.0,4225.0,13909.0,7623.0,1545.0,7728.0,10524.0,,
2020-06-15,6623.0,4670.0,14418.0,7806.0,1583.0,7794.0,10798.0,,
2020-06-16,7209.0,5880.0,15241.0,8133.0,1655.0,8389.0,11175.0,,
2020-06-17,7834.0,6895.0,16064.0,8576.0,1786.0,8750.0,11725.0,,
2020-06-18,8719.0,8500.0,17373.0,9048.0,1877.0,9239.0,12475.0,,
